LDAP-Display-Name	msDS-IntId	Attribute-ID	
msDS-OperationsForAzRole	0	591636	
msDS-OperationsForAzRoleBL	0	591637	
msDS-OperationsForAzTask	0	591632	
msDS-OperationsForAzTaskBL	0	591633	
msDS-Other-Settings	0	591445	
msDS-PrincipalName	0	591689	
msDS-QuotaAmount	0	591669	
msDS-QuotaEffective	0	591672	
msDS-QuotaTrustee	0	591668	
msDS-QuotaUsed	0	591673	
msDS-NCReplCursors	0	591528	
msDS-NCReplInboundNeighbors	0	591529	
msDS-NCReplOutboundNeighbors	0	591530	
msDS-NC-Replica-Locations	0	591485	
msDS-NC-RO-Replica-Locations	0	591791	
msDS-NC-RO-Replica-Locations-BL	0	591792	
msDS-Non-Security-Group-Extra-Classes	0	591513	
msDS-PerUserTrustQuota	0	591612	
msDS-PerUserTrustTombstonesQuota	0	591614	
msDS-Preferred-GC-Site	0	591268	
msDS-ReplAttributeMetaData	0	591531	
msDS-ReplValueMetaData	0	591532	
mS-DS-ReplicatesNCReason	0	591232	
msDS-Replication-Notify-First-DSA-Delay	0	591487	
msDS-Replication-Notify-Subsequent-DSA-Delay	0	591488	
msDS-ReplicationEpoch	0	591544	
msDS-RetiredReplNCSignatures	0	591650	
msDs-Schema-Extensions	0	591264	
msDS-SDReferenceDomain	0	591535	
msDS-Security-Group-Extra-Classes	0	591512	
msDS-Settings	0	591521	
msDS-Site-Affinity	0	591267	
msDS-SPNSuffixes	0	591539	
msDS-TasksForAzRole	0	591638	
msDS-TasksForAzRoleBL	0	591639	
msDS-TasksForAzTask	0	591634	
msDS-TasksForAzTaskBL	0	591635	
msDS-User-Account-Control-Computed	0	591284	
msDS-UserPasswordExpiryTimeComputed	0	591820	
msDS-UpdateScript	0	591545	
msDS-SourceObjectDN	0	591703	
msDS-KrbTgtLink	0	591747	
msDS-RevealedUsers	0	591748	
msDS-hasFullReplicaNCs	0	591749	
msDS-NeverRevealGroup	0	591750	
msDS-RevealOnDemandGroup	0	591752	
msDS-SecondaryKrbTgtNumber	0	591753	
msDS-RevealedDSAs	0	591754	
msDS-KrbTgtLinkBl	0	591755	
msDS-IsFullReplicaFor	0	591756	
msDS-IsDomainFor	0	591757	
msDS-IsPartialReplicaFor	0	591758	
msDS-IsUserCachableAtRodc	0	591849	
msDS-RevealedList	0	591764	
msDS-RevealedListBL	0	591799	
msDS-LastSuccessfulInteractiveLogonTime	0	591794	
msDS-LastFailedInteractiveLogonTime	0	591795	
msDS-FailedInteractiveLogonCount	0	591796	
msDS-FailedInteractiveLogonCountAtLastSuccessfulLogon	0	591797	
msDS-USNLastSyncSuccess	0	591879	
msDS-OptionalFeatureFlags	0	591887	
msExchAssistantName	0	131516	
msExchHouseIdentifier	0	131668	
msExchLabeledURI	0	131665	
ownerBL	0	131176	
msFRS-Hub-Member	0	591517	
msFRS-Topology-Pref	0	591516	
msDFSR-Version	0	2293761	
msDFSR-Extension	0	2293762	
msDFSR-RootPath	0	2293763	
msDFSR-RootSizeInMb	0	2293764	
msDFSR-StagingPath	0	2293765	
msDFSR-StagingSizeInMb	0	2293766	
msDFSR-ConflictPath	0	2293767	
msDFSR-ConflictSizeInMb	0	2293768	
msDFSR-Enabled	0	2293769	
msDFSR-ReplicationGroupType	0	2293770	
msDFSR-TombstoneExpiryInMin	0	2293771	
msDFSR-FileFilter	0	2293772	
msDFSR-DirectoryFilter	0	2293773	
msDFSR-Schedule	0	2293774	
msDFSR-Keywords	0	2293775	
msDFSR-Flags	0	2293776	
msDFSR-Options	0	2293777	
msDFSR-ContentSetGuid	0	2293778	
msDFSR-RdcEnabled	0	2293779	
msDFSR-RdcMinFileSizeInKb	0	2293780	
msDFSR-DfsPath	0	2293781	
msDFSR-RootFence	0	2293782	
msDFSR-ReplicationGroupGuid	0	2293783	
msDFSR-DfsLinkTarget	0	2293784	
msDFSR-MemberReference	0	2293860	
msDFSR-ComputerReference	0	2293861	
msDFSR-MemberReferenceBL	0	2293862	
msDFSR-ComputerReferenceBL	0	2293863	
msDFSR-Priority	0	2293785	
msDFSR-DeletedPath	0	2293786	
msDFSR-DeletedSizeInMb	0	2293787	
msDFSR-ReadOnly	0	2293788	
msDFSR-CachePolicy	0	2293789	
msDFSR-MinDurationCacheInMin	0	2293790	
msDFSR-MaxAgeInCacheInMin	0	2293791	
msFVE-RecoveryPassword	0	591788	
msFVE-VolumeGuid	0	591822	
msFVE-KeyPackage	0	591823	
msFVE-RecoveryGuid	0	591789	
msTPM-OwnerInformation	0	591790	
msieee80211-Data	0	591645	
msieee80211-DataType	0	591646	
msieee80211-ID	0	591647	
msIIS-FTPDir	0	591610	
msIIS-FTPRoot	0	591609	
msImaging-PSPIdentifier	0	591877	
msImaging-PSPString	0	591878	
ms-net-ieee-80211-GP-PolicyGUID	0	591775	
ms-net-ieee-80211-GP-PolicyData	0	591776	
ms-net-ieee-80211-GP-PolicyReserved	0	591777	
ms-net-ieee-8023-GP-PolicyGUID	0	591778	
ms-net-ieee-8023-GP-PolicyData	0	591779	
ms-net-ieee-8023-GP-PolicyReserved	0	591780	
msPKI-Cert-Template-OID	0	591260	
msPKI-Certificate-Application-Policy	0	591498	
msPKI-Certificate-Name-Flag	0	591256	
msPKI-Certificate-Policy	0	591263	
msPKI-CredentialRoamingTokens	0	591874	
msPKI-Enrollment-Flag	0	591254	
msPKI-Enrollment-Servers	0	591900	
msPKI-Minimal-Key-Size	0	591257	
msPKI-OID-Attribute	0	591495	
msPKI-OID-CPS	0	591496	
msPKI-OIDLocalizedName	0	591536	
msPKI-OID-User-Notice	0	591497	
msPKI-Private-Key-Flag	0	591255	
msPKI-Site-Name	0	591901	
msPKI-Supersede-Templates	0	591261	
msPKI-Template-Minor-Revision	0	591259	
msPKI-Template-Schema-Version	0	591258	
msPKI-RA-Application-Policies	0	591499	
msPKI-RA-Policies	0	591262	
msPKI-RA-Signature	0	591253	
msPKIRoamingTimeStamp	0	591716	
msPKIDPAPIMasterKeys	0	591717	
msPKIAccountCredentials	0	591718	
msRRASAttribute	0	590708	
msRRASVendorAttributeEntry	0	590707	
msRADIUS-FramedInterfaceId	0	591737	
msRADIUS-SavedFramedInterfaceId	0	591738	
msRADIUS-FramedIpv6Prefix	0	591739	
msRADIUS-SavedFramedIpv6Prefix	0	591740	
msRADIUS-FramedIpv6Route	0	591741	
msRADIUS-SavedFramedIpv6Route	0	591742	
mS-SQL-Name	0	591187	
mS-SQL-RegisteredOwner	0	591188	
mS-SQL-Contact	0	591189	
mS-SQL-Location	0	591190	
mS-SQL-Memory	0	591191	
mS-SQL-Build	0	591192	
mS-SQL-ServiceAccount	0	591193	
mS-SQL-CharacterSet	0	591194	
mS-SQL-SortOrder	0	591195	
mS-SQL-UnicodeSortOrder	0	591196	
mS-SQL-Clustered	0	591197	
mS-SQL-NamedPipe	0	591198	
mS-SQL-MultiProtocol	0	591199	
mS-SQL-SPX	0	591200	
mS-SQL-TCPIP	0	591201	
mS-SQL-AppleTalk	0	591202	
mS-SQL-Vines	0	591203	
mS-SQL-Status	0	591204	
mS-SQL-LastUpdatedDate	0	591205	
mS-SQL-InformationURL	0	591206	
mS-SQL-ConnectionURL	0	591207	
mS-SQL-PublicationURL	0	591208	
mS-SQL-GPSLatitude	0	591209	
mS-SQL-GPSLongitude	0	591210	
mS-SQL-GPSHeight	0	591211	
mS-SQL-Version	0	591212	
mS-SQL-Language	0	591213	
mS-SQL-Description	0	591214	
mS-SQL-Type	0	591215	
mS-SQL-InformationDirectory	0	591216	
mS-SQL-Database	0	591217	
mS-SQL-AllowAnonymousSubscription	0	591218	
mS-SQL-Alias	0	591219	
mS-SQL-Size	0	591220	
mS-SQL-CreationDate	0	591221	
mS-SQL-LastBackupDate	0	591222	
mS-SQL-LastDiagnosticDate	0	591223	
mS-SQL-Applications	0	591224	
mS-SQL-Keywords	0	591225	
mS-SQL-Publisher	0	591226	
mS-SQL-AllowKnownPullSubscription	0	591227	
mS-SQL-AllowImmediateUpdatingSubscription	0	591228	
mS-SQL-AllowQueuedUpdatingSubscription	0	591229	
mS-SQL-AllowSnapshotFilesFTPDownloading	0	591230	
mS-SQL-ThirdParty	0	591231	
msTAPI-ConferenceBlob	0	591524	
msTAPI-IpAddress	0	591525	
msTAPI-ProtocolId	0	591523	
msTAPI-uid	0	591522	
msWMI-Author	0	591447	
msWMI-ChangeDate	0	591448	
msWMI-Class	0	591500	
msWMI-ClassDefinition	0	591449	
msWMI-CreationDate	0	591450	
msWMI-Genus	0	591501	
msWMI-ID	0	591451	
msWMI-IntDefault	0	591452	
msWMI-intFlags1	0	591502	
msWMI-intFlags2	0	591503	
msWMI-intFlags3	0	591504	
msWMI-intFlags4	0	591505	
msWMI-IntMax	0	591453	
msWMI-IntMin	0	591454	
msWMI-IntValidValues	0	591455	
msWMI-Int8Default	0	591456	
msWMI-Int8Max	0	591457	
msWMI-Int8Min	0	591458	
msWMI-Int8ValidValues	0	591459	
msWMI-Mof	0	591462	
msWMI-Name	0	591463	
msWMI-NormalizedClass	0	591464	
msWMI-Parm1	0	591506	
msWMI-Parm2	0	591507	
msWMI-Parm3	0	591508	
msWMI-Parm4	0	591509	
msWMI-PropertyName	0	591465	
msWMI-Query	0	591466	
msWMI-QueryLanguage	0	591467	
msWMI-ScopeGuid	0	591510	
msWMI-SourceOrganization	0	591468	
msWMI-StringDefault	0	591460	
msWMI-StringValidValues	0	591461	
msWMI-TargetClass	0	591469	
msWMI-TargetNameSpace	0	591470	
msWMI-TargetObject	0	591471	
msWMI-TargetPath	0	591472	
msWMI-TargetType	0	591473	
mscopeId	0	590540	
msiFileList	0	590495	
msiScript	0	590638	
msiScriptName	0	590669	
msiScriptPath	0	589839	
msiScriptSize	0	590670	
mSMQAuthenticate	0	590747	
mSMQBasePriority	0	590744	
mSMQComputerType	0	590757	
mSMQComputerTypeEx	0	591241	
mSMQCost	0	590770	
mSMQCSPName	0	590764	
mSMQDependentClientService	0	591063	
mSMQDependentClientServices	0	591050	
mSMQDigests	0	590772	
